VendorID,AccountNumber,Name,CreditRating,PreferredVendorStatus,ActiveFlag,AddressType,AddressLine1,AddressLine2,City,StateProvinceCode,State_Province,PostalCode
1,INTERNAT0001,International,1,1,1,"Main Office","683 Larch Ct.",NULL,"Salt Lake City","UT ",Utah,84101
2,ELECTRON0002,"Electronic Bike Repair & Supplies",1,1,1,"Main Office","8547 Catherine Way",NULL,Tacoma,"WA ",Washington,98403
3,PREMIER0001,"Premier Sport, Inc.",1,1,1,"Main Office","7682 Fern Leaf Lane",NULL,Boston,"MA ",Massachusetts,02113
4,COMFORT0001,"Comfort Road Bicycles",1,1,1,"Main Office","7651 Smiling Tree Court","Space 55","Los Angeles","CA ",California,90012
5,METROSP0001,"Metro Sport Equipment",1,1,1,"Main Office","60 Oakgrove Rd.",NULL,Lebanon,"OR ",Oregon,97355
6,GREENLA0001,"Green Lake Bike Company",1,1,1,"Main Office","2342 Peachwillow",NULL,Denver,"CO ",Colorado,80203
7,MOUNTAIN0001,"Mountain Works",1,0,1,"Main Office","8 Rogers Ave.",NULL,Everett,"WA ",Washington,98201
8,CONTINEN0001,"Continental Pro Cycles",3,1,1,"Main Office","2 Lion Circle",NULL,"Long Beach","CA ",California,90802
9,ADATUM0001,"A. Datum Corporation",1,1,1,"Main Office","2596 Big Canyon Road",NULL,"New York","NY ","New York",10007
10,TREYRE0001,"Trey Research",3,1,1,"Main Office","1874 Valley Blvd.",NULL,"Palo Alto","CA ",California,94303
11,ANDERSON0001,"Anderson's Custom Bikes",1,1,1,"Main Office","9 Guadalupe Dr.",NULL,Burbank,"CA ",California,91502
12,COMPETE0002,"Compete, Inc.",1,1,1,"Main Office","9491 Toyon Dr",NULL,Dallas,"TX ",Texas,75201
13,BEAUMONT0001,"Beaumont Bikes",1,0,1,"Main Office","2472 Alexander Place",NULL,"West Covina","ID ",Idaho,83301
14,LIGHTSP0001,"Light Speed",1,1,1,"Main Office","298 Sunnybrook Drive",NULL,"Spring Valley","CA ",California,91977
15,SUPERSAL0001,"SUPERSALES INC.",1,1,1,"Main Office","9443 Oaxaca",NULL,Lakewood,"CA ",California,90712
16,IMAGEMA0001,"Image Makers Bike Center",1,1,1,"Main Office","3195 RiverRock Dr.",NULL,Burlingame,"CA ",California,94010
17,COMPETE0001,"Compete Enterprises, Inc",1,1,1,"Main Office","50 Via Del Sol",NULL,Lynnwood,"WA ",Washington,98036
18,G&KBI0001,"G & K Bicycle Corp.",1,1,1,"Main Office","8981 Carmel Drive",NULL,"W. Linn","NV ",Nevada,89701
19,CYCLING0001,"Cycling Master",1,1,1,"Main Office","4823 Stonewood Ct.",NULL,"Walla Walla","WA ",Washington,99362
20,JEFFSSP0001,"Jeff's Sporting Goods",1,1,1,"Main Office","31 Bridgeview St",NULL,Glendale,"CA ",California,91203
21,BUSINESS0001,"Business Equipment Center",2,1,1,"Main Office","6061 St. Paul Way",NULL,Everett,"MT ",Montana,98201
22,VICTORY0001,"Victory Bikes",5,1,1,"Main Office","3459 Tri-state Ave",NULL,Issaquah,"WA ",Washington,98027
23,NORSTAN0001,"Norstan Bike Hut",1,1,1,"Main Office","68 Filling Ave.",NULL,Beaverton,"OR ",Oregon,97005
24,FIRSTRA0001,"First Rate Bicycles",1,1,1,"Main Office","7053 Laurel Dr.",NULL,"La Mesa","NM ","New Mexico",88044
25,READYRE0001,"Ready Rentals",1,1,1,"Main Office","35 Buckthorn Court","# 1",Kirkland,"WA ",Washington,98033
26,FIRSTNA0001,"First National Sport Co.",1,1,1,"Main Office","8127 Otter Dr.",NULL,Boise,"ID ",Idaho,83702
27,CAPITAL0001,"Capital Road Cycles",1,1,1,"Main Office","628 Muir Road",NULL,"Los Angeles","CA ",California,90012
28,WIDEWOR0001,"Wide World Importers",2,1,1,"Main Office","50 Edward Ave",NULL,Concord,"CA ",California,94519
29,INTEGRAT0001,"Integrated Sport Products",1,1,1,"Main Office","75 Q St.",NULL,"Chula Vista","CA ",California,91910
30,CONSUMER0001,"Consumer Cycles",3,1,1,"Main Office","3 Chablis Court",NULL,Torrance,"CA ",California,90505
31,FEDERAL0001,"Federal Sport",3,1,1,"Main Office","2909 Toyon Dr.",NULL,Burlingame,"CA ",California,94010
32,ADVANCED0001,"Advanced Bicycles",1,1,1,"Main Office","7995 Edwards Ave.",NULL,Lynnwood,"WA ",Washington,98036
33,SIGNATUR0001,"Signature Cycles",2,1,1,"Main Office","50 Kim Court",NULL,Coronado,"CA ",California,92118
34,INDIANA0001,"Indiana Bicycle Center",1,1,1,"Main Office","9620 Laurel Drive",NULL,Novato,"WY ",Wyoming,82070
35,MITCHELL0001,"Mitchell Sports",1,1,1,"Main Office","7562 Daylight Place",NULL,Everett,"WA ",Washington,98201
36,RECREATI0001,"Recreation Place",4,1,1,"Main Office","207 Concerto Circle",NULL,Salem,"OR ",Oregon,97301
37,INNERCI0001,"Inner City Bikes",3,1,1,"Main Office","102 Silverado Drive",NULL,"W. Linn","OR ",Oregon,97068
38,ALLENSON0001,"Allenson Cycles",2,1,1,"Main Office","4659 Montoya",NULL,Altadena,"CA ",California,91001
39,HILLSBI0001,"Hill's Bicycle Service",1,1,1,"Main Office","3664 Colt Ct.",NULL,Richmond,"CA ",California,94801
40,WESTJUN0001,"West Junction Cycles",1,1,1,"Main Office","7786 Olive St",NULL,Olympia,"WA ",Washington,98501
41,SPEEDCO0001,"Speed Corporation",1,1,1,"Main Office","2834 Clifford Court",#9,Anacortes,"WA ",Washington,98221
42,LEGENDC0001,"Legend Cycles",1,1,1,"Main Office","978 Mozden Lane",NULL,"San Francisco","CA ",California,94109
43,INLINEA0001,"Inline Accessories",1,1,1,"Main Office","5 Madrid",NULL,Concord,"CA ",California,94519
44,COMPETIT0001,"Competition Bike Training Systems",1,1,1,"Main Office","4151 Olivera",NULL,Atlanta,"GA ",Georgia,30308
45,CHICAGO0001,"Chicago City Saddles",1,1,1,"Main Office","3 Gehringer Drive",NULL,"Daly City","CA ",California,94015
46,BURNETT0001,"Burnett Road Warriors",1,1,1,"Main Office","5807 Churchill Dr.",NULL,Corvallis,"OR ",Oregon,97330
47,BIKESAT0001,"Bike Satellite Inc.",1,0,1,"Main Office","2141 Delaware Ct.",NULL,Downey,"TN ",Tennessee,37501
